cve_id,state,days_public,hours_public,public_date,public_date_origin,clock_known,rule,rule_strength,rule_certainty,rule_basis,self_disclosed,owner_nameable,veto_evaluated,clock_origin,advisory_date,advisory_days_public,sources,feed_count,refs,source_urls,package,ecosystem,description,state_verified_this_run
CVE-2024-4047,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4047,true
CVE-2024-4048,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4048,true
CVE-2024-4049,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4049,true
CVE-2024-4050,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4050,true
CVE-2024-4051,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4051,true
CVE-2024-4052,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4052,true
CVE-2024-4053,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4053,true
CVE-2024-4054,RESERVED,847,20328,2024-05-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-09,847,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1085	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1085.json""}",,,CVE-2024-4054,true
CVE-2024-27131,RESERVED,836,20064,2024-05-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-20,836,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1195	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1195.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1195.json""}",,,CVE-2024-27131,true
CVE-2024-31969,RESERVED,828,19872,2024-05-28,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-28,828,alas,1,alas:CVE-2024-31969,"{""alas"": ""https://explore.alas.aws.amazon.com/CVE-2024-31969.html""}",,,"In sudo-1.8.23-10.amzn2.3.6 (Amazon Linux 2) and sudo-1.8.23-10.58.amzn1 (Amazon Linux 1), a user with an entry in the sudoers file, enabling them to run commands as another unprivileged user, can leverage it to run commands as root.",true
CVE-2024-4407,RESERVED,828,19872,2024-05-28,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-28,828,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1247	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1247.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1247.json""}",,,CVE-2024-4407,true
CVE-2024-5027,RESERVED,828,19872,2024-05-28,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-05-28,828,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1245	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1245.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1245.json""}",,,CVE-2024-5027,true
CVE-2024-31329,RESERVED,822,19728,2024-06-03,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-06-03,822,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1278	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1278.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1278.json""}",,,CVE-2024-31329,true
CVE-2024-31330,RESERVED,822,19728,2024-06-03,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-06-03,822,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1278	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1278.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1278.json""}",,,CVE-2024-31330,true
CVE-2024-27369,RESERVED,820,19680,2024-06-05,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-06-05,820,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1304	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1304.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1304.json""}",,,CVE-2024-27369,true
CVE-2024-36223,RESERVED,814,19536,2024-06-11,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-06-11,814,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1351	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1351.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1351.json""}",,,CVE-2024-36223,true
CVE-2024-38445,RESERVED,807,19368,2024-06-18,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-06-18,807,csaf,1,csaf:SUSE Product Security Team	CVE-2024-38445	https://ftp.suse.com/pub/projects/security/csaf-vex/cve-2024-38445.json,"{""csaf"": ""https://ftp.suse.com/pub/projects/security/csaf-vex/cve-2024-38445.json""}",,,CVE-2024-38445,true
CVE-2024-40606,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40606,true
CVE-2024-40607,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40607,true
CVE-2024-40608,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40608,true
CVE-2024-40609,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40609,true
CVE-2024-40610,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40610,true
CVE-2024-40611,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40611,true
CVE-2024-40612,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40612,true
CVE-2024-40613,RESERVED,786,18864,2024-07-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-09,786,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1585	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1585.json""}",,,CVE-2024-40613,true
CVE-2024-6992,RESERVED,772,18528,2024-07-23,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-23,772,"alpine,csaf,debian",3,alpine:qt6-qtwebengine;csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1694	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1694.json;debian:chromium,"{""alpine"": ""https://security.alpinelinux.org/vuln/CVE-2024-6992"", ""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1694.json"", ""debian"": ""https://security-tracker.debian.org/tracker/CVE-2024-6992""}",qt6-qtwebengine,,CVE-2024-6992,true
CVE-2024-6993,RESERVED,772,18528,2024-07-23,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-07-23,772,"csaf,debian",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1694	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1694.json;debian:chromium,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1694.json"", ""debian"": ""https://security-tracker.debian.org/tracker/CVE-2024-6993""}",chromium,,CVE-2024-6993,true
CVE-2024-34735,RESERVED,763,18312,2024-08-01,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-08-01,763,"csaf,osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1762	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1762.json;osv:Android:platform/frameworks/base,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1762.json"", ""osv"": ""https://osv.dev/list?q=CVE-2024-34735""}",platform/frameworks/base,Android,"In multiple locations, there is a possible background activity launch due to a logic error in the code.",true
CVE-2024-20452,RESERVED,757,18168,2024-08-07,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-08-07,757,csaf,1,csaf:Cisco	cisco-sa-spa-http-vulns-RJZmX2Xz	https://www.cisco.com/.well-known/csaf/2024/cisco-sa-spa-http-vulns-rjzmx2xz.json,"{""csaf"": ""https://www.cisco.com/.well-known/csaf/2024/cisco-sa-spa-http-vulns-rjzmx2xz.json""}",,,Cisco Small Business SPA300 and SPA500 HTTP Web UI Authenticated Arbitrary Command Execution Vulnerability,true
CVE-2024-20453,RESERVED,757,18168,2024-08-07,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-08-07,757,csaf,1,csaf:Cisco	cisco-sa-spa-http-vulns-RJZmX2Xz	https://www.cisco.com/.well-known/csaf/2024/cisco-sa-spa-http-vulns-rjzmx2xz.json,"{""csaf"": ""https://www.cisco.com/.well-known/csaf/2024/cisco-sa-spa-http-vulns-rjzmx2xz.json""}",,,Cisco Small Business SPA300 and SPA500 HTTP Web UI Authenticated Denial of Service Vulnerability,true
CVE-2024-21969,RESERVED,751,18024,2024-08-13,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-08-13,751,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1837	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1837.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1837.json""}",,,CVE-2024-21969,true
CVE-2024-41993,RESERVED,750,18000,2024-08-14,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-08-14,750,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-1855	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1855.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-1855.json""}",,,CVE-2024-41993,true
CVE-2024-37009,RESERVED,724,17376,2024-09-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-09-09,724,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-2090	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json""}",,,CVE-2024-37009,true
CVE-2024-37010,RESERVED,724,17376,2024-09-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-09-09,724,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-2090	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json""}",,,CVE-2024-37010,true
CVE-2024-37011,RESERVED,724,17376,2024-09-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-09-09,724,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-2090	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json""}",,,CVE-2024-37011,true
CVE-2024-37012,RESERVED,724,17376,2024-09-09,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2024-09-09,724,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2024-2090	https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2024/wid-sec-w-2024-2090.json""}",,,CVE-2024-37012,true
