cve_id,state,vendor,package,ecosystem,owner,owner_nameable,owner_tier,owner_method,self_disclosed,rule,rule_strength,rule_basis,days_public,hours_public,past_expectation,public_date,feed_count,sources,advisory_url,refs,description
CVE-2026-3836,RESERVED,Red Hat,dnf5,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,164,3936,True,2026-03-09,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-3836,alas:CVE-2026-3836;debian:dnf5;redhat:CVE-2026-3836,"A flaw was found in dnf5. A local, unprivileged attacker can exploit a path traversal vulnerability in the D-Bus locale configuration. By providing a specially crafted string to th"
CVE-2026-3312,RESERVED,Red Hat,pagure,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,160,3840,True,2026-03-13,2,"debian,redhat",https://access.redhat.com/security/cve/CVE-2026-3312,debian:pagure;redhat:CVE-2026-3312,pagure: Pagure: Information disclosure via unrestricted reStructuredText include directive
CVE-2026-2046,RESERVED,Amazon Linux,gimp,,zdi,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,153,3672,True,2026-03-20,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-2046,alas:CVE-2026-2046;debian:gimp,GIMP LBM File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability
CVE-2026-33864,RESERVED,,convict,npm,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,147,3528,True,2026-03-26,1,osv,https://osv.dev/list?q=CVE-2026-33864,osv:npm:convict,Convict has Prototype Pollution via startsWith() function
CVE-2026-33863,RESERVED,,convict,npm,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,147,3528,True,2026-03-26,1,osv,https://osv.dev/list?q=CVE-2026-33863,osv:npm:convict,"Convict has prototype pollution via load(), loadFile(), and schema initialization"
CVE-2026-4981,RESERVED,Red Hat,CVE-2026-4981,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,146,3504,True,2026-03-27,1,redhat,https://access.redhat.com/security/cve/CVE-2026-4981,redhat:CVE-2026-4981,rhacs: Red Hat Advanced Cluster Security (ACS): Open Redirect and Content Spoofing via OAuth callback endpoint
CVE-2026-30762,RESERVED,,lightrag-hku,PyPI,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,138,3312,True,2026-04-04,1,osv,https://osv.dev/list?q=CVE-2026-30762,osv:PyPI:lightrag-hku,LightRAG: Hardcoded JWT Signing Secret Allows Authentication Bypass
CVE-2026-3865,RESERVED,Red Hat,CVE-2026-3865,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,132,3168,True,2026-04-10,1,redhat,https://access.redhat.com/security/cve/CVE-2026-3865,redhat:CVE-2026-3865,csi-driver-smb: Kubernetes CSI Driver for SMB: Path Traversal vulnerability allows unauthorized file operations via insufficient subDir validation.
CVE-2026-58382,RESERVED,Red Hat,gimp,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,131,3144,True,2026-04-11,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-58382,alas:CVE-2026-58382;debian:gimp;redhat:CVE-2026-58382,A flaw was found in GIMP's Jeff's Image Format (JIF) parser. A heap-based out-of-bounds write occurs in the ReadJeffsImage() function when a crafted JIF file supplies an invalid bi
CVE-2026-58386,RESERVED,Red Hat,gimp,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,131,3144,True,2026-04-11,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-58386,alas:CVE-2026-58386;debian:gimp;redhat:CVE-2026-58386,"A flaw was found in GIMP's TIM loader. File-controlled width, height, and palette size values are used directly in multiple variable-length array declarations in load_image(), allo"
CVE-2026-58387,RESERVED,Red Hat,gimp,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,131,3144,True,2026-04-11,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-58387,alas:CVE-2026-58387;debian:gimp;redhat:CVE-2026-58387,"A flaw was found in GIMP's Seattle FilmWorks (SFW94A) loader. In load_image(), photo_date is allocated based on an unvalidated metadata separator offset and can become a 1-byte buf"
CVE-2026-58388,RESERVED,Red Hat,gimp,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,131,3144,True,2026-04-11,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-58388,alas:CVE-2026-58388;debian:gimp;redhat:CVE-2026-58388,A flaw was found in GIMP's Seattle FilmWorks (SFW94A) loader. A stack-based out-of-bounds write occurs in load_image() because a stack buffer sized as file_size - 0xE0 is later ind
CVE-2026-58383,RESERVED,Red Hat,gimp,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,131,3144,True,2026-04-11,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-58383,alas:CVE-2026-58383;debian:gimp;redhat:CVE-2026-58383,A flaw was found in GIMP's Jeff's Image Format (JIF) parser. A heap-based out-of-bounds write occurs in the ReadJeffsImage() function when a crafted JIF file sets bits-per-pixel to
CVE-2026-58385,RESERVED,Red Hat,gimp,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,131,3144,True,2026-04-11,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-58385,alas:CVE-2026-58385;debian:gimp;redhat:CVE-2026-58385,"A flaw was found in GIMP's PVR decoder. A heap-based out-of-bounds write occurs in pvr_decode_compressed() because the Y-axis loop uses width / 2 instead of height / 2, allowing cr"
CVE-2026-6856,RESERVED,Red Hat,CVE-2026-6856,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,129,3096,True,2026-04-13,1,redhat,https://access.redhat.com/security/cve/CVE-2026-6856,redhat:CVE-2026-6856,keycloak: keycloak: acceptable AAGUID policy bypass via packed self-attestation in WebAuthn registration
CVE-2026-32179,RESERVED,Alpine,libmsquic,NuGet,microsoft,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,126,3024,True,2026-04-16,2,"alpine,osv",https://security.alpinelinux.org/vuln/CVE-2026-32179,alpine:libmsquic;osv:NuGet:Microsoft.Native.Quic.MsQuic.OpenSSL,MsQuic has a Remote Elevation of Privilege Vulnerability
CVE-2026-54333,RESERVED,,uefi-firmware,PyPI,GitHub_M,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,126,3024,True,2026-04-16,1,osv,https://osv.dev/list?q=CVE-2026-54333,osv:PyPI:uefi-firmware,UEFI Firmware Parser has a stack out-of-bounds write in tiano decompressor MakeTable
CVE-2026-54334,RESERVED,,uefi-firmware,PyPI,GitHub_M,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,126,3024,True,2026-04-16,1,osv,https://osv.dev/list?q=CVE-2026-54334,osv:PyPI:uefi-firmware,UEFI Firmware Parser has a heap out-of-bounds write in tiano decompressor ReadCLen
CVE-2026-22020,RESERVED,Red Hat,openjdk-11,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,121,2904,True,2026-04-21,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-22020,alas:CVE-2026-22020;debian:openjdk-11;redhat:CVE-2026-22020,Updated libpng in Oracle Java. This CVE addresses a vulnerability in the bundled libpng library within Oracle's proprietary Java SE binary distribution. OpenJDK-based distributions
CVE-2026-3890,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,118,2832,True,2026-04-24,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-3890,alas:CVE-2026-3890;debian:qemu,hcd-ohci: infinite loop  NOTE: Fixed by: https://gitlab.com/qemu-project/qemu/-/commit/129922c2bc398b656a9180150e667f98fdf0d402 (v11.0.0-rc1)
CVE-2026-5761,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,118,2832,True,2026-04-24,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-5761,alas:CVE-2026-5761;debian:qemu,An internal buffer is used when processing VIRTIO_BLK_T_ZONE_REPORT requests. The buffer's size is controlled by the guest. A large value can result in g_malloc() failure and the Q
CVE-2026-5763,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,115,2760,True,2026-04-27,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-5763,alas:CVE-2026-5763;debian:qemu,virtio-scsi request size mismatch  NOTE: Fixed by: https://gitlab.com/qemu-project/qemu/-/commit/79971302935472232a68073faddb085177e3ca54 (v11.0.0-rc3)
CVE-2026-5744,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,115,2760,True,2026-04-27,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-5744,alas:CVE-2026-5744;debian:qemu,hw/uefi: heap overflow  NOTE: Introduced with: https://gitlab.com/qemu-project/qemu/-/commit/90ca4e03c27dc8ac821a2e1686e705ae9a93d301 (v10.0.0-rc0) NOTE: Fixed by: https://gitlab.c
CVE-2026-6502,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,105,2520,True,2026-05-07,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-6502,alas:CVE-2026-6502;debian:qemu,NOTE: Introduced with: https://gitlab.com/qemu-project/qemu/-/commit/7c092f17cceef10258ed23006b40e19b14996471 (v9.2.0-rc0) NOTE: Fixed by: https://gitlab.com/qemu-project/qemu/-/co
CVE-2026-57964,RESERVED,Red Hat,spice-vdagent,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,85,2040,True,2026-05-27,3,"alas,debian,redhat",https://access.redhat.com/security/cve/CVE-2026-57964,alas:CVE-2026-57964;debian:spice-vdagent;redhat:CVE-2026-57964,"A flaw was found in spice-vdagent. On macOS and BSD platforms, an unprivileged local user can bypass authentication by connecting to the Unix Domain Socket Client/Server (UDSCS) so"
CVE-2026-38739,RESERVED,,ezsystems/ezpublish-legacy,Packagist,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,83,1992,True,2026-05-29,2,"ghsa,osv",https://github.com/advisories/GHSA-xg9x-h37w-h3r3,ghsa:GHSA-xg9x-h37w-h3r3;osv:Packagist:ezsystems/ezpublish-legacy,ezsystems/ezpublish-legacy has a SQL injection in dfscleanup
CVE-2026-41435,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-41435,alas:CVE-2026-41435;debian:qemu,Qemu buffer overrun in hw/uefi
CVE-2026-41439,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-41439,alas:CVE-2026-41439;debian:qemu,hw/uefi: verify data size before accessing it in wrap_pkcs7
CVE-2026-41437,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-41437,alas:CVE-2026-41437;debian:qemu,Potential out-of-bound read.
CVE-2026-41438,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-41438,alas:CVE-2026-41438;debian:qemu,"The vulnerability is a 16-bit integer wrap: when sizeof(*pe) + lv->name_size exceeds UINT16_MAX, the pe->size field (uint16_t) wraps, leading to memory corruption in the QEMU proce"
CVE-2026-49390,RESERVED,Amazon Linux,netatalk,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,3,"alas,alpine,debian",https://security-tracker.debian.org/tracker/CVE-2026-49390,alas:CVE-2026-49390;alpine:netatalk;debian:netatalk,"From https://netatalk.io/security/CVE-2026-49390, The server quantum option in afp.conf is not range-validated during configuration parsing. Although the manual states that out-of-"
CVE-2026-8341,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-8341,alas:CVE-2026-8341;debian:qemu,Qemu integer underflow in hw/uefi
CVE-2026-41436,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-41436,alas:CVE-2026-41436;debian:qemu,hw/uefi: verify pio_xfer_offset before calculating buffer checksum
CVE-2026-41440,RESERVED,Amazon Linux,qemu,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,80,1920,True,2026-06-01,2,"alas,debian",https://security-tracker.debian.org/tracker/CVE-2026-41440,alas:CVE-2026-41440;debian:qemu,hw/uefi: add var-service-auth.c
CVE-2026-11053,RESERVED,Red Hat,chromium,,Chrome,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,79,1896,True,2026-06-02,2,"debian,redhat",https://access.redhat.com/security/cve/CVE-2026-11053,debian:chromium;redhat:CVE-2026-11053,chromium-browser: chromium-browser: VULNERABILITY in WebRTC
CVE-2026-11099,RESERVED,Red Hat,chromium,,Chrome,True,block,block-k3,False,4.5.1.6,SHOULD,inferred-owner,79,1896,True,2026-06-02,2,"debian,redhat",https://access.redhat.com/security/cve/CVE-2026-11099,debian:chromium;redhat:CVE-2026-11099,chromium-browser: chromium-browser: Vulnerability in Skia
CVE-2026-43980,RESERVED,,malla,PyPI,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,78,1872,True,2026-06-03,2,"ghsa,osv",https://github.com/advisories/GHSA-ch57-39q2-4crm,ghsa:GHSA-ch57-39q2-4crm;osv:PyPI:malla,malla: Stored XSS via Meshtastic node names in multiple frontend pages
CVE-2026-8462,RESERVED,,github.com/openmeterio/openmeter,Go,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,77,1848,True,2026-06-04,2,"ghsa,osv",https://github.com/advisories/GHSA-wc3v-3457-c8cm,ghsa:GHSA-wc3v-3457-c8cm;osv:Go:github.com/openmeterio/openmeter,OpenMeter: SQL injection through meter creation
CVE-2026-47215,RESERVED,Alpine,singularity,Go,GitHub_M,True,block-corroborated,block-k3+product-map,True,4.5.1.4,MUST,inferred-owner,77,1848,True,2026-06-04,3,"alpine,ghsa,osv",https://security.alpinelinux.org/vuln/CVE-2026-47215,alpine:singularity;ghsa:GHSA-wqcr-7rf3-f64m;osv:Go:github.com/sylabs/singularity/v4,Singluarity: Incorrect path matching for 'limit container paths' directive
CVE-2026-45730,RESERVED,,github.com/nuclio/nuclio,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,77,1848,True,2026-06-04,2,"ghsa,osv",https://github.com/advisories/GHSA-m8xg-8xg9-mxhm,ghsa:GHSA-m8xg-8xg9-mxhm;osv:Go:github.com/nuclio/nuclio,Nuclio: Missing authorization on project write paths allows any authenticated user to modify or delete any project
CVE-2026-45057,RESERVED,,matrix-sdk-ui,crates.io,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,77,1848,True,2026-06-04,2,"ghsa,osv",https://github.com/advisories/GHSA-h97m-27fx-42rx,ghsa:GHSA-h97m-27fx-42rx;osv:crates.io:matrix-sdk-ui,matrix-sdk-ui: Incomplete edit validation
CVE-2026-45056,RESERVED,,matrix-sdk-crypto,crates.io,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,77,1848,True,2026-06-04,2,"ghsa,osv",https://github.com/advisories/GHSA-wfq4-36m3-9g42,ghsa:GHSA-wfq4-36m3-9g42;osv:crates.io:matrix-sdk-crypto,Matrix Rust SDK: Sender-binding gaps in to-device and room-key attribution
CVE-2026-44476,RESERVED,,doorkeeper-openid_connect,RubyGems,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,77,1848,True,2026-06-04,2,"ghsa,osv",https://github.com/advisories/GHSA-m6vc-f87m-cc2h,ghsa:GHSA-m6vc-f87m-cc2h;osv:RubyGems:doorkeeper-openid_connect,Doorkeeper Openid Connect: Dynamic Client Registration feature creates public clients with client_secret
CVE-2026-53954,RESERVED,,bugsink,PyPI,GitHub_M,True,block-corroborated,block-k3+product-map,True,4.5.1.4,MUST,inferred-owner,76,1824,True,2026-06-05,2,"ghsa,osv",https://github.com/advisories/GHSA-5x67-j5xg-c5gj,ghsa:GHSA-5x67-j5xg-c5gj;osv:PyPI:bugsink,Bugsink: DOS using large numbers of event tags
CVE-2026-47680,RESERVED,,github.com/fluxcd/source-controller,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,76,1824,True,2026-06-05,2,"ghsa,osv",https://github.com/advisories/GHSA-jjrm-hr5f-673x,ghsa:GHSA-jjrm-hr5f-673x;osv:Go:github.com/fluxcd/source-controller,Source controller: Improper path handling allows traversal
CVE-2026-45726,RESERVED,,github.com/siderolabs/omni,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,76,1824,True,2026-06-05,2,"ghsa,osv",https://github.com/advisories/GHSA-wv8c-6mx2-xf4j,ghsa:GHSA-wv8c-6mx2-xf4j;osv:Go:github.com/siderolabs/omni,Omni: Reader-level users can retrieve imported cluster CA keys via ResourceService
CVE-2026-45723,RESERVED,,github.com/siderolabs/omni,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,76,1824,True,2026-06-05,2,"ghsa,osv",https://github.com/advisories/GHSA-c66c-vq6w-fvh5,ghsa:GHSA-c66c-vq6w-fvh5;osv:Go:github.com/siderolabs/omni,Omni: Operator can traverse image-factory API paths via unsanitized `talos_version` in CreateSchematic
CVE-2026-45720,RESERVED,,github.com/siderolabs/omni,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,76,1824,True,2026-06-05,2,"ghsa,osv",https://github.com/advisories/GHSA-5x9f-6vg5-qg4m,ghsa:GHSA-5x9f-6vg5-qg4m;osv:Go:github.com/siderolabs/omni,Omni has a TOCTOU race condition that allows multiple concurrent uses of a single-use SAML session token
CVE-2026-47735,RESERVED,,github.com/basekick-labs/arc,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,73,1752,True,2026-06-08,2,"ghsa,osv",https://github.com/advisories/GHSA-p2j4-c4g6-rpf5,ghsa:GHSA-p2j4-c4g6-rpf5;osv:Go:github.com/basekick-labs/arc,Arc has an authenticated arbitrary local-file read via DuckDB I/O functions that bypasses RBAC table-level checks
CVE-2026-47252,RESERVED,,github.com/julien040/anyquery/plugins/chrome,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,73,1752,True,2026-06-08,2,"ghsa,osv",https://github.com/advisories/GHSA-hrj8-hjv8-mgwc,ghsa:GHSA-hrj8-hjv8-mgwc;osv:Go:github.com/julien040/anyquery/plugins/chrome,Anyquery: AppleScript/JXA Code Injection via Unescaped URL in macOS Chrome Plugin
CVE-2026-52903,RESERVED,Red Hat,CVE-2026-52903,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,72,1728,True,2026-06-09,1,redhat,https://access.redhat.com/security/cve/CVE-2026-52903,redhat:CVE-2026-52903,manageiq: YAML safe_load production fallback to unsafe_load enables RCE via deserialization
CVE-2026-47753,RESERVED,Debian,incus-feature,Go,GitHub_M,True,block-corroborated,block-k3+product-map,True,4.5.1.4,MUST,inferred-owner,71,1704,True,2026-06-10,4,"alpine,debian,ghsa,osv",https://security-tracker.debian.org/tracker/CVE-2026-47753,alpine:incus-feature;debian:incus;ghsa:GHSA-8g7m-96c8-8wwc;osv:Go:github.com/lxc/incus/v7,Incus has a Nil-Pointer Dereference Panic via Instance Backup Import (volume omitted)
CVE-2026-47701,RESERVED,Red Hat,github.com/open-telemetry/opentelemetry-operator,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,71,1704,True,2026-06-10,3,"ghsa,osv,redhat",https://access.redhat.com/security/cve/CVE-2026-47701,ghsa:GHSA-cxh2-4639-vmc5;osv:Go:github.com/open-telemetry/opentelemetry-operator;redhat:CVE-2026-47701,OpenTelemetry Operator for Kubernetes's ServiceMonitor bearerTokenFile reads arbitrary local file and sends contents as bearer auth
CVE-2026-47253,RESERVED,,github.com/julien040/anyquery,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,71,1704,True,2026-06-10,2,"ghsa,osv",https://github.com/advisories/GHSA-j9rx-rppg-6hh4,ghsa:GHSA-j9rx-rppg-6hh4;osv:Go:github.com/julien040/anyquery,"Anyquery has Path Traversal through `clear_plugin_cache`, Allowing Arbitrary Directory Deletion"
CVE-2026-48050,RESERVED,,github.com/basekick-labs/arc,Go,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,70,1680,True,2026-06-11,2,"ghsa,osv",https://github.com/advisories/GHSA-j93g-rp6m-j32m,ghsa:GHSA-j93g-rp6m-j32m;osv:Go:github.com/basekick-labs/arc,Arc: Unauthenticated access to Go debug pprof endpoints leaks runtime state and enables CPU-burn DoS
CVE-2026-47780,RESERVED,,github.com/free5gc/udr,Go,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,70,1680,True,2026-06-11,2,"ghsa,osv",https://github.com/advisories/GHSA-6gxq-gpr8-xgjp,ghsa:GHSA-6gxq-gpr8-xgjp;osv:Go:github.com/free5gc/udr,free5GC UDR has improper `ueId` validation in EE subscription handlers that allows arbitrary identifier persistence
CVE-2026-12893,RESERVED,Red Hat,gst-libav1.0,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,69,1656,True,2026-06-12,2,"debian,redhat",https://access.redhat.com/security/cve/CVE-2026-12893,debian:gst-libav1.0;redhat:CVE-2026-12893,gstreamer1-libav: gstreamer1-libav: NULL pointer dereference in gstavdemux.c error handler
CVE-2026-52717,RESERVED,Red Hat,gst-libav1.0,,unattributed,False,abstain,block-k3-abstain,False,4.5.1.6,SHOULD,unattributed,69,1656,True,2026-06-12,2,"debian,redhat",https://access.redhat.com/security/cve/CVE-2026-52717,debian:gst-libav1.0;redhat:CVE-2026-52717,gstreamer1-plugin-libav: GStreamer: Denial of service via invalid free in gst-libav pipe protocol handler
CVE-2026-54697,RESERVED,,org.connectbot.sshlib,Maven,GitHub_M,True,block,block-k3,True,4.5.1.4,MUST,inferred-owner,69,1656,True,2026-06-12,2,"ghsa,osv",https://github.com/advisories/GHSA-vc8p-8pxg-rfwg,ghsa:GHSA-vc8p-8pxg-rfwg;osv:Maven:org.connectbot.sshlib:sshlib,ConnectBot SSH Client Library: Excessive allocation and integer overflow in DER private-key parsing
