cve_id,state,days_public,hours_public,public_date,clock_known,past_expectation,rule,rule_strength,rule_certainty,rule_basis,self_disclosed,own_feed_date,earliest_other_date,owner_nameable,veto_evaluated,clock_origin,advisory_date,advisory_days_public,sources,feed_count,indep_sources,single_origin,refs,advisory_url,vendor,package,ecosystem,description,state_verified_this_run
CVE-2025-30083,RESERVED,523,12552,2025-03-19,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-03-19,523,osv,1,1,True,osv:Packagist:codingms/additional-tca,https://osv.dev/list?q=CVE-2025-30083,,codingms/additional-tca,Packagist,Additional TCA Allows Cross-Site Scripting (XSS),True
CVE-2025-30081,RESERVED,523,12552,2025-03-19,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-03-19,523,osv,1,1,True,osv:Packagist:clickstorm/cs-seo,https://osv.dev/list?q=CVE-2025-30081,,clickstorm/cs-seo,Packagist,Clickstorm SEO Allows Cross-Site Scripting (XSS),True
CVE-2025-2792,RESERVED,516,12384,2025-03-26,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-03-26,516,osv,1,1,True,osv:npm:@mozilla/readability,https://osv.dev/list?q=CVE-2025-2792,,@mozilla/readability,npm,@mozilla/readability Denial of Service through Regex,True
CVE-2025-26415,RESERVED,510,12240,2025-04-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-04-01,510,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-26415,,,Android,"In n/a of n/a, there is a possible n/a due to a logic error in the code.",True
CVE-2025-28269,RESERVED,504,12096,2025-04-07,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-04-07,504,osv,1,1,True,osv:npm:js-object-utilities,https://osv.dev/list?q=CVE-2025-28269,,js-object-utilities,npm,js-object-utilities Vulnerable to Prototype Pollution,True
CVE-2025-23390,RESERVED,486,11664,2025-04-25,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-04-25,486,osv,1,1,True,osv:Go:github.com/rancher/fleet,https://osv.dev/list?q=CVE-2025-23390,,github.com/rancher/fleet,Go,Fleet doesn’t validate a server’s certificate when connecting through SSH,True
CVE-2025-32314,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32314,,,Android,"In ppmp_protect_buf of drm_fw.c, there is a possible memory protection issue due to a logic error in the code.",True
CVE-2025-32338,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32338,,,Android,"In nvt_flash_read of nt36xxx.c, there is a possible out of bounds write due to a heap buffer overflow.",True
CVE-2025-32339,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32339,,,Android,"In TBD of TBD, there is a possible out of bounds write due to a missing bounds check.",True
CVE-2025-32315,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32315,,,Android,"In tbd of tbd, there is a possible lockscreen bypass due to an unusual root cause.",True
CVE-2025-32336,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32336,,,Android,"In wl_escan_handler of TBD, there is a possible out of bounds write due to a heap buffer overflow.",True
CVE-2025-32337,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32337,,,Android,"In sms_SetTpUdIe() of sms_PduCodec.cc, there is a possible out of bounds write due to a heap buffer overflow.",True
CVE-2025-32340,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32340,,,Android,"In ProtocolMiscCurrentLinkCapacityEstimate() of protocolmiscadapter.cpp, there is a possible out of bounds read due to a heap buffer overflow.",True
CVE-2025-26459,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-26459,,,Android,"In SetLogicalToPhysicalSlotPortMapping::onRequest of commands.cpp, there is a possible out of bounds write due to a buffer overflow.",True
CVE-2025-32334,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32334,,,Android,Analysis: Access Vector: Local Layer: Userland Root Causes: Heap Buffer Overflow SRS Categories: - Android Security SRS Category: Memory Safety Writeup: A stack trace alone with PoC app is insufficient to determine if this represents a genuine memory corruption vulnerability reachable by an untrusted application.,True
CVE-2025-26457,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-26457,,,Android,,True
CVE-2025-26460,RESERVED,449,10776,2025-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-06-01,449,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-26460,,,Android,"In CopyDataFromFmq of common_utils.cpp, there is a possible out of bounds write due to a missing bounds check.",True
CVE-2025-41419,RESERVED,389,9336,2025-07-31,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-07-31,389,osv,1,1,True,osv:PyPI:ms-swift,https://osv.dev/list?q=CVE-2025-41419,,ms-swift,PyPI,MS SWIFT WEB-UI RCE Vulnerability,True
CVE-2025-9141,RESERVED,369,8856,2025-08-20,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2025-08-20,369,"osv,redhat",2,2,False,osv:PyPI:vllm;redhat:CVE-2025-9141,https://access.redhat.com/security/cve/CVE-2025-9141,Red Hat,vllm,PyPI,vllm: quen3: RCE in vllm tool call parser for qwen3coder,True
CVE-2025-11058,RESERVED,363,8712,2025-08-26,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-08-26,363,osv,1,1,True,osv:PyPI:xml2rfc,https://osv.dev/list?q=CVE-2025-11058,,xml2rfc,PyPI,xml2rfc has an arbitrary file read vulnerability,True
CVE-2025-36910,RESERVED,357,8568,2025-09-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-09-01,357,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-36910,,,Android,"In hw_oem_imei_init of hw_oem_imei.c, there is a possible escalation of privilege due to hardware identifiers not being fused to OTP. This could lead to local escalation of privilege with no additional execution privileges needed.",True
CVE-2025-32344,RESERVED,357,8568,2025-09-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-09-01,357,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32344,,,Android,"In SimUpdatePbEntry::encode of simdata.cpp, there is a possible out of bounds write due to a heap buffer overflow.",True
CVE-2025-32342,RESERVED,357,8568,2025-09-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-09-01,357,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32342,,,Android,"In CopyDataFromFmq of common_utils.cpp, there is a possible out of bounds write due to improper input validation.",True
CVE-2025-32343,RESERVED,357,8568,2025-09-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-09-01,357,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32343,,,Android,"In CopyDataFromFmq of common_utils.cpp, there is a possible out of bounds write due to an integer overflow.",True
CVE-2025-11059,RESERVED,348,8352,2025-09-10,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2025-09-10,348,osv,1,1,True,osv:PyPI:xml2rfc,https://osv.dev/list?q=CVE-2025-11059,,xml2rfc,PyPI,xml2rfc is vulnerable to arbitrary file reads through prepped files,True
CVE-2025-61620,RESERVED,321,7704,2025-10-07,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2025-10-07,321,"osv,redhat",2,2,False,osv:PyPI:vllm;redhat:CVE-2025-61620,https://access.redhat.com/security/cve/CVE-2025-61620,Red Hat,vllm,PyPI,vllm: vLLM OpenAI-Compatible Server Resource Exhaustion via chat_template Parameters,True
CVE-2025-32335,RESERVED,266,6384,2025-12-01,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2025-12-01,266,osv,1,1,True,osv:Android::unknown:,https://osv.dev/list?q=CVE-2025-32335,,,Android,"In convertHalTDToRil of commands.cpp, there is a possible out of bounds write due to a buffer overflow.",True
CVE-2025-65852,RESERVED,199,4776,2026-02-06,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-02-06,199,osv,1,1,True,osv:Go:gogs.io/gogs,https://osv.dev/list?q=CVE-2025-65852,,gogs.io/gogs,Go,Gogs has authorization bypass in repository deletion API,True
CVE-2026-2574,RESERVED,189,4536,2026-02-16,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-02-16,189,"alas,debian,redhat",3,2,False,alas:CVE-2026-2574;debian:glib-networking;redhat:CVE-2026-2574,https://access.redhat.com/security/cve/CVE-2026-2574,Red Hat,glib-networking,,A flaw was found in glib-networking.,True
CVE-2026-3836,RESERVED,168,4032,2026-03-09,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-03-09,168,"alas,debian,redhat",3,2,False,alas:CVE-2026-3836;debian:dnf5;redhat:CVE-2026-3836,https://access.redhat.com/security/cve/CVE-2026-3836,Red Hat,dnf5,,A flaw was found in dnf5.,True
CVE-2026-3312,RESERVED,164,3936,2026-03-13,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-03-13,164,"debian,redhat",2,2,False,debian:pagure;redhat:CVE-2026-3312,https://access.redhat.com/security/cve/CVE-2026-3312,Red Hat,pagure,,pagure: Pagure: Information disclosure via unrestricted reStructuredText include directive,True
CVE-2026-2046,RESERVED,157,3768,2026-03-20,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-03-20,157,"alas,debian",2,2,False,alas:CVE-2026-2046;debian:gimp,https://security-tracker.debian.org/tracker/CVE-2026-2046,Amazon Linux,gimp,,GIMP LBM File Parsing Heap-based Buffer Overflow Remote Code Execution Vulnerability,True
CVE-2026-33864,RESERVED,151,3624,2026-03-26,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-03-26,151,osv,1,1,True,osv:npm:convict,https://osv.dev/list?q=CVE-2026-33864,,convict,npm,Convict has Prototype Pollution via startsWith() function,True
CVE-2026-33863,RESERVED,151,3624,2026-03-26,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-03-26,151,osv,1,1,True,osv:npm:convict,https://osv.dev/list?q=CVE-2026-33863,,convict,npm,"Convict has prototype pollution via load(), loadFile(), and schema initialization",True
CVE-2026-4981,RESERVED,150,3600,2026-03-27,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-03-27,150,redhat,1,1,True,redhat:CVE-2026-4981,https://access.redhat.com/security/cve/CVE-2026-4981,Red Hat,CVE-2026-4981,,rhacs: Red Hat Advanced Cluster Security (ACS): Open Redirect and Content Spoofing via OAuth callback endpoint,True
CVE-2026-0058,RESERVED,145,3480,2026-04-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-01,145,samsung,1,1,True,samsung:SMR-Apr-2026,https://www.cve.org/CVERecord?id=CVE-2026-0058,,,,Samsung SMR Apr 2026,True
CVE-2026-30762,RESERVED,142,3408,2026-04-04,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-04-04,142,osv,1,1,True,osv:PyPI:lightrag-hku,https://osv.dev/list?q=CVE-2026-30762,,lightrag-hku,PyPI,LightRAG: Hardcoded JWT Signing Secret Allows Authentication Bypass,True
CVE-2026-3865,RESERVED,136,3264,2026-04-10,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-04-10,136,redhat,1,1,True,redhat:CVE-2026-3865,https://access.redhat.com/security/cve/CVE-2026-3865,Red Hat,CVE-2026-3865,,csi-driver-smb: Kubernetes CSI Driver for SMB: Path Traversal vulnerability allows unauthorized file operations via insufficient subDir validation.,True
CVE-2026-58387,RESERVED,135,3240,2026-04-11,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-11,135,"alas,debian,redhat",3,2,False,alas:CVE-2026-58387;debian:gimp;redhat:CVE-2026-58387,https://access.redhat.com/security/cve/CVE-2026-58387,Red Hat,gimp,,A flaw was found in GIMP's Seattle FilmWorks (SFW94A) loader.,True
CVE-2026-58382,RESERVED,135,3240,2026-04-11,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-11,135,"alas,debian,redhat",3,2,False,alas:CVE-2026-58382;debian:gimp;redhat:CVE-2026-58382,https://access.redhat.com/security/cve/CVE-2026-58382,Red Hat,gimp,,A flaw was found in GIMP's Jeff's Image Format (JIF) parser.,True
CVE-2026-58388,RESERVED,135,3240,2026-04-11,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-11,135,"alas,debian,redhat",3,2,False,alas:CVE-2026-58388;debian:gimp;redhat:CVE-2026-58388,https://access.redhat.com/security/cve/CVE-2026-58388,Red Hat,gimp,,A flaw was found in GIMP's Seattle FilmWorks (SFW94A) loader.,True
CVE-2026-58383,RESERVED,135,3240,2026-04-11,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-11,135,"alas,debian,redhat",3,2,False,alas:CVE-2026-58383;debian:gimp;redhat:CVE-2026-58383,https://access.redhat.com/security/cve/CVE-2026-58383,Red Hat,gimp,,A flaw was found in GIMP's Jeff's Image Format (JIF) parser.,True
CVE-2026-58386,RESERVED,135,3240,2026-04-11,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-11,135,"alas,debian,redhat",3,2,False,alas:CVE-2026-58386;debian:gimp;redhat:CVE-2026-58386,https://access.redhat.com/security/cve/CVE-2026-58386,Red Hat,gimp,,A flaw was found in GIMP's TIM loader.,True
CVE-2026-58385,RESERVED,135,3240,2026-04-11,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-11,135,"alas,debian,redhat",3,2,False,alas:CVE-2026-58385;debian:gimp;redhat:CVE-2026-58385,https://access.redhat.com/security/cve/CVE-2026-58385,Red Hat,gimp,,A flaw was found in GIMP's PVR decoder.,True
CVE-2026-6856,RESERVED,133,3192,2026-04-13,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-13,133,redhat,1,1,True,redhat:CVE-2026-6856,https://access.redhat.com/security/cve/CVE-2026-6856,Red Hat,CVE-2026-6856,,keycloak: keycloak: acceptable AAGUID policy bypass via packed self-attestation in WebAuthn registration,True
CVE-2026-25250,RESERVED,132,3168,2026-04-14,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-04-14,132,msrc,1,1,True,msrc:msrc:2026-Apr,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-25250,Microsoft,,,MITRE: CVE-2026-25250 Secure Boot disable Eazy Fix,True
CVE-2026-32179,RESERVED,130,3120,2026-04-16,True,True,4.5.1.6,SHOULD,candidate,inferred-owner,False,,,False,False,advisory,2026-04-16,130,"alpine,osv",2,2,False,alpine:libmsquic;osv:NuGet:Microsoft.Native.Quic.MsQuic.OpenSSL,https://security.alpinelinux.org/vuln/CVE-2026-32179,Alpine,libmsquic,NuGet,MsQuic has a Remote Elevation of Privilege Vulnerability,True
CVE-2026-54333,RESERVED,130,3120,2026-04-16,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2026-04-16,130,osv,1,1,True,osv:PyPI:uefi-firmware,https://osv.dev/list?q=CVE-2026-54333,,uefi-firmware,PyPI,UEFI Firmware Parser has a stack out-of-bounds write in tiano decompressor MakeTable,True
CVE-2026-54334,RESERVED,130,3120,2026-04-16,True,True,4.5.1.6,SHOULD,unmeasurable,inferred-owner,False,,,False,False,advisory,2026-04-16,130,osv,1,1,True,osv:PyPI:uefi-firmware,https://osv.dev/list?q=CVE-2026-54334,,uefi-firmware,PyPI,UEFI Firmware Parser has a heap out-of-bounds write in tiano decompressor ReadCLen,True
CVE-2026-22020,RESERVED,125,3000,2026-04-21,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-04-21,125,"alas,debian,redhat",3,2,False,alas:CVE-2026-22020;debian:openjdk-11;redhat:CVE-2026-22020,https://access.redhat.com/security/cve/CVE-2026-22020,Red Hat,openjdk-11,,Updated libpng in Oracle Java.,True
CVE-2026-3890,RESERVED,122,2928,2026-04-24,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-24,122,"alas,debian",2,2,False,alas:CVE-2026-3890;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-3890,Amazon Linux,qemu,,hcd-ohci: infinite loop,True
CVE-2026-5761,RESERVED,122,2928,2026-04-24,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-24,122,"alas,debian",2,2,False,alas:CVE-2026-5761;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-5761,Amazon Linux,qemu,,An internal buffer is used when processing VIRTIO_BLK_T_ZONE_REPORT requests.,True
CVE-2026-5744,RESERVED,119,2856,2026-04-27,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-27,119,"alas,debian",2,2,False,alas:CVE-2026-5744;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-5744,Amazon Linux,qemu,,hw/uefi: heap overflow,True
CVE-2026-5763,RESERVED,119,2856,2026-04-27,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-04-27,119,"alas,debian",2,2,False,alas:CVE-2026-5763;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-5763,Amazon Linux,qemu,,virtio-scsi request size mismatch,True
CVE-2026-0062,RESERVED,115,2760,2026-05-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-05-01,115,samsung,1,1,True,samsung:SMR-May-2026,https://www.cve.org/CVERecord?id=CVE-2026-0062,,,,Samsung SMR May 2026,True
CVE-2026-6502,RESERVED,109,2616,2026-05-07,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-05-07,109,"alas,debian",2,2,False,alas:CVE-2026-6502;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-6502,Amazon Linux,qemu,,qemu,True
CVE-2026-57964,RESERVED,89,2136,2026-05-27,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-05-27,89,"alas,debian,redhat",3,2,False,alas:CVE-2026-57964;debian:spice-vdagent;redhat:CVE-2026-57964,https://access.redhat.com/security/cve/CVE-2026-57964,Red Hat,spice-vdagent,,A flaw was found in spice-vdagent.,True
CVE-2026-38739,RESERVED,87,2088,2026-05-29,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-05-29,87,"ghsa,osv",2,1,True,ghsa:GHSA-xg9x-h37w-h3r3;osv:Packagist:ezsystems/ezpublish-legacy,https://github.com/advisories/GHSA-xg9x-h37w-h3r3,,ezsystems/ezpublish-legacy,Packagist,ezsystems/ezpublish-legacy has a SQL injection in dfscleanup,True
CVE-2026-41438,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-06-01,84,"alas,debian",2,2,False,alas:CVE-2026-41438;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-41438,Amazon Linux,qemu,,"The vulnerability is a 16-bit integer wrap: when sizeof(*pe) + lv->name_size exceeds UINT16_MAX, the pe->size field (uint16_t) wraps, leading to memory corruption in the QEMU process.",True
CVE-2026-49390,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,False,advisory,2026-06-01,84,"alas,alpine,debian",3,3,False,alas:CVE-2026-49390;alpine:netatalk;debian:netatalk,https://security-tracker.debian.org/tracker/CVE-2026-49390,Amazon Linux,netatalk,,The server quantum option in afp.conf is not range-validated during configuration parsing.,True
CVE-2026-41437,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-06-01,84,"alas,debian",2,2,False,alas:CVE-2026-41437;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-41437,Amazon Linux,qemu,,Potential out-of-bound read.,True
CVE-2026-41435,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-06-01,84,"alas,debian",2,2,False,alas:CVE-2026-41435;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-41435,Amazon Linux,qemu,,Qemu buffer overrun in hw/uefi,True
CVE-2026-41436,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-06-01,84,"alas,debian",2,2,False,alas:CVE-2026-41436;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-41436,Amazon Linux,qemu,,hw/uefi: verify pio_xfer_offset before calculating buffer checksum,True
CVE-2026-8341,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-06-01,84,"alas,debian",2,2,False,alas:CVE-2026-8341;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-8341,Amazon Linux,qemu,,Qemu integer underflow in hw/uefi,True
CVE-2026-41440,RESERVED,84,2016,2026-06-01,True,True,4.5.1.6,SHOULD,unmeasurable,unattributed,False,,,False,True,advisory,2026-06-01,84,"alas,debian",2,2,False,alas:CVE-2026-41440;debian:qemu,https://security-tracker.debian.org/tracker/CVE-2026-41440,Amazon Linux,qemu,,hw/uefi: add var-service-auth.c,True
